City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,sosnovo-ozerskoye,52.5249,111.5418,-13.05,83,64,3.51,RU,2024-2-7
304,misratah,32.3754,15.0925,15.1,51,95,3.27,LY,2024-2-7
305,argostolion,38.1811,20.489,10.41,57,19,0.54,GR,2024-2-7
306,tsiombe,-25.3,45.4833,26.33,77,3,3.27,MG,2024-2-7
307,port douglas,-16.4833,145.4667,30.1,70,82,3.48,AU,2024-2-7
308,dongkan,33.9997,119.8308,4.75,51,65,4.73,CN,2024-2-7
309,buka,40.8108,69.1986,9.73,37,100,3.41,UZ,2024-2-7
310,al ghayzah,16.2079,52.176,23.74,53,6,1.15,YE,2024-2-7
311,ilhabela,-23.7781,-45.3581,23.59,89,100,1.15,BR,2024-2-7
312,raja,8.4596,25.678,18.07,23,16,2.12,SS,2024-2-7
313,san patricio,28.017,-97.5169,14.92,73,79,3.07,US,2024-2-7
314,al qadarif,14.0349,35.3834,19.17,31,57,4.62,SD,2024-2-7
315,port loko,8.7667,-12.7833,26.82,97,1,0.47,SL,2024-2-7
316,aparecida do taboado,-20.0867,-51.0936,22.38,79,100,2.15,BR,2024-2-7
317,enewetak,11.3474,162.3373,26.73,81,99,8.18,MH,2024-2-7
318,lufkin,31.3382,-94.7291,11.33,74,0,2.06,US,2024-2-7
319,sumbawa besar,-8.5,117.4333,30.91,60,74,2.74,ID,2024-2-7
320,port alfred,-33.5906,26.891,21.77,84,92,4.47,ZA,2024-2-7
321,puerto baquerizo moreno,-0.9,-89.6,25.43,86,44,5.19,EC,2024-2-7
322,alo,7.4178,6.7371,22.98,23,64,0.99,NG,2024-2-7
323,livingstonia,-10.606,34.1063,19.62,78,86,1.51,MW,2024-2-7
324,turinsk,58.0458,63.696,-2.37,93,100,5.73,RU,2024-2-7
325,nova vicosa,-17.8919,-39.3719,25.27,88,100,2.08,BR,2024-2-7
326,mu'minobod,38.1085,70.0285,4.35,79,100,1.16,TJ,2024-2-7
327,kodiak,57.79,-152.4072,2.73,81,100,5.14,US,2024-2-7
328,tura,25.5198,90.2201,21.65,34,0,2.37,IN,2024-2-7
329,pacific grove,36.6177,-121.9166,11.82,78,100,3.58,US,2024-2-7
330,yeppoon,-23.1333,150.7333,31.88,66,12,7.33,AU,2024-2-7
331,bardai,11.65,7.2333,16.12,28,48,6.37,NG,2024-2-7
332,khuzdar,27.7384,66.6434,11.71,52,0,1.16,PK,2024-2-7
333,massawa,15.6097,39.45,23.14,63,98,4.15,ER,2024-2-7
334,ola,59.5833,151.2833,-14.92,85,94,2.65,RU,2024-2-7
335,camarinas,43.1311,-9.1817,14.96,91,100,9.56,ES,2024-2-7
336,lodja,-3.4833,23.4333,20.76,98,93,0.48,CD,2024-2-7
337,fortuna,40.5982,-124.1573,9.25,94,100,1.79,US,2024-2-7
